#SampleID	Accession_number	Species	geographic_region	life_style	life_style_2	life_style_3	population	HCA	species_population	lifestyle_species	phyl_group	phyl_group2	phyl_group3	phyl_group_lifestyle	ecol_group
10317	ERS915957	Homo_sapiens	North_America	urban	urban	urban_AGP	USA	keep	Homo_sapiensUSA	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00001	ERS916844	Homo_sapiens	Asia	urban	urban	urban_AGP	Thailand	keep	Homo_sapiensThailand	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00001	ERS916846	Homo_sapiens	Asia	urban	urban	urban_AGP	Thailand	keep	Homo_sapiensThailand	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00001	ERS916848	Homo_sapiens	Asia	urban	urban	urban_AGP	Thailand	keep	Homo_sapiensThailand	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00001	ERS916849	Homo_sapiens	Asia	urban	urban	urban_AGP	Thailand	keep	Homo_sapiensThailand	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00001	ERS916140	Homo_sapiens	Asia	urban	urban	urban_AGP	Thailand	keep	Homo_sapiensThailand	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00001	ERS916141	Homo_sapiens	Asia	urban	urban	urban_AGP	Thailand	keep	Homo_sapiensThailand	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00001	ERS916927	Homo_sapiens	North_America	urban	urban	urban_AGP	USA	keep	Homo_sapiensUSA	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00002	ERS1088064	Homo_sapiens	Australia	urban	urban	urban_AGP	Australia	keep	Homo_sapiensAustralia	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00002	ERS939549	Homo_sapiens	Australia	urban	urban	urban_AGP	Australia	keep	Homo_sapiensAustralia	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00002	ERS940081	Homo_sapiens	Europe	urban	urban	urban_AGP	Sweden	keep	Homo_sapiensSweden	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00002	ERS940170	Homo_sapiens	Australia	urban	urban	urban_AGP	Australia	keep	Homo_sapiensAustralia	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00002	ERS940175	Homo_sapiens	Australia	urban	urban	urban_AGP	Australia	keep	Homo_sapiensAustralia	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00002	ERS939733	Homo_sapiens	North_America	urban	urban	urban_AGP	USA	keep	Homo_sapiensUSA	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00002	ERS1052487	Homo_sapiens	Australia	urban	urban	urban_AGP	Australia	keep	Homo_sapiensAustralia	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00003	ERS940284	Homo_sapiens	North_America	urban	urban	urban_AGP	USA	keep	Homo_sapiensUSA	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00003	ERS1134619	Homo_sapiens	Europe	urban	urban	urban_AGP	Switzerland	keep	Homo_sapiensSwitzerland	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00003	ERS1134620	Homo_sapiens	Europe	urban	urban	urban_AGP	Switzerland	keep	Homo_sapiensSwitzerland	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00003	ERS940829	Homo_sapiens	Europe	urban	urban	urban_AGP	UnitedKingdom	keep	Homo_sapiensUnitedKingdom	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00003	ERS1564535	Homo_sapiens	Europe	urban	urban	urban_AGP	UnitedKingdom	keep	Homo_sapiensUnitedKingdom	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00003	ERS941189	Homo_sapiens	Europe	urban	urban	urban_AGP	Switzerland	keep	Homo_sapiensSwitzerland	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00003	ERS1564541	Homo_sapiens	Europe	urban	urban	urban_AGP	Switzerland	keep	Homo_sapiensSwitzerland	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00003	ERS1088187	Homo_sapiens	Europe	urban	urban	urban_AGP	Sweden	keep	Homo_sapiensSweden	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00003	ERS1821659	Homo_sapiens	Europe	urban	urban	urban_AGP	UnitedKingdom	keep	Homo_sapiensUnitedKingdom	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00003	ERS1164452	Homo_sapiens	Australia	urban	urban	urban_AGP	Australia	keep	Homo_sapiensAustralia	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00003	ERS1821661	Homo_sapiens	Europe	urban	urban	urban_AGP	UnitedKingdom	keep	Homo_sapiensUnitedKingdom	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00003	ERS941520	Homo_sapiens	North_America	urban	urban	urban_AGP	USA	keep	Homo_sapiensUSA	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00004	ERS1052767	Homo_sapiens	North_America	urban	urban	urban_AGP	USA	keep	Homo_sapiensUSA	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00004	ERS1134724	Homo_sapiens	Europe	urban	urban	urban_AGP	Switzerland	keep	Homo_sapiensSwitzerland	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00004	ERS1164507	Homo_sapiens	Europe	urban	urban	urban_AGP	UnitedKingdom	keep	Homo_sapiensUnitedKingdom	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00004	ERS1564590	Homo_sapiens	Europe	urban	urban	urban_AGP	Switzerland	keep	Homo_sapiensSwitzerland	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00004	ERS1207775	Homo_sapiens	Europe	urban	urban	urban_AGP	Switzerland	keep	Homo_sapiensSwitzerland	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00004	ERS1207776	Homo_sapiens	Europe	urban	urban	urban_AGP	Sweden	keep	Homo_sapiensSweden	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00004	ERS1305428	Homo_sapiens	Europe	urban	urban	urban_AGP	Switzerland	keep	Homo_sapiensSwitzerland	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00004	ERS1134836	Homo_sapiens	North_America	urban	urban	urban_AGP	USA	keep	Homo_sapiensUSA	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00004	ERS1846361	Homo_sapiens	Europe	urban	urban	urban_AGP	UnitedKingdom	keep	Homo_sapiensUnitedKingdom	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00004	ERS1207856	Homo_sapiens	Europe	urban	urban	urban_AGP	Switzerland	keep	Homo_sapiensSwitzerland	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00005	ERS1821825	Homo_sapiens	North_America	urban	urban	urban_AGP	USA	keep	Homo_sapiensUSA	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00005	ERS1821843	Homo_sapiens	Australia	urban	urban	urban_AGP	Australia	keep	Homo_sapiensAustralia	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00005	ERS1821861	Homo_sapiens	Europe	urban	urban	urban_AGP	UnitedKingdom	keep	Homo_sapiensUnitedKingdom	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00005	ERS1846406	Homo_sapiens	Europe	urban	urban	urban_AGP	UnitedKingdom	keep	Homo_sapiensUnitedKingdom	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00006	ERS1865281	Homo_sapiens	Europe	urban	urban	urban_AGP	Switzerland	keep	Homo_sapiensSwitzerland	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00006	ERS1562443	Homo_sapiens	Europe	urban	urban	urban_AGP	UnitedKingdom	keep	Homo_sapiensUnitedKingdom	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00006	ERS1821912	Homo_sapiens	Europe	urban	urban	urban_AGP	UnitedKingdom	keep	Homo_sapiensUnitedKingdom	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00006	ERS1564811	Homo_sapiens	Europe	urban	urban	urban_AGP	Sweden	keep	Homo_sapiensSweden	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00006	ERS1564878	Homo_sapiens	North_America	urban	urban	urban_AGP	USA	keep	Homo_sapiensUSA	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00007	ERS1865582	Homo_sapiens	North_America	urban	urban	urban_AGP	USA	keep	Homo_sapiensUSA	urban	Human	Ape	Human	Human_Industrialized	Savannah
10317.00007	ERS1846587	Homo_sapiens	Europe	urban	urban	urban_AGP	Sweden	keep	Homo_sapiensSweden	urban	Human	Ape	Human	Human_Industrialized	Savannah
11358.1146	ERS2585570	Homo_sapiens	Africa	traditional	hunter_gatherer	hunter_gatherer	Hadza	keep	Homo_sapiensTanzania	hunter_gatherer	Human	Ape	Human	Human_Non_Industrialized	Savannah
11358.1156	ERS2585580	Homo_sapiens	Africa	traditional	hunter_gatherer	hunter_gatherer	Hadza	keep	Homo_sapiensTanzania	hunter_gatherer	Human	Ape	Human	Human_Non_Industrialized	Savannah
11358.1168	ERS2585592	Homo_sapiens	Africa	traditional	hunter_gatherer	hunter_gatherer	Hadza	keep	Homo_sapiensTanzania	hunter_gatherer	Human	Ape	Human	Human_Non_Industrialized	Savannah
11358.1176	ERS2585599	Homo_sapiens	Africa	traditional	hunter_gatherer	hunter_gatherer	Hadza	keep	Homo_sapiensTanzania	hunter_gatherer	Human	Ape	Human	Human_Non_Industrialized	Savannah
11358.1184	ERS2585607	Homo_sapiens	Africa	traditional	hunter_gatherer	hunter_gatherer	Hadza	keep	Homo_sapiensTanzania	hunter_gatherer	Human	Ape	Human	Human_Non_Industrialized	Savannah
11358.1186	ERS2585609	Homo_sapiens	Africa	traditional	hunter_gatherer	hunter_gatherer	Hadza	keep	Homo_sapiensTanzania	hunter_gatherer	Human	Ape	Human	Human_Non_Industrialized	Savannah
