OrigID	#SampleID	Accession_number	Species	country	country_of_birth	geographic_region	life_style	life_style_2	life_style_3	population	HCA	species_population	lifestyle_species	phyl_group	phyl_group2	phyl_group3	phyl_group_lifestyle	ecol_group
10317.00003	10317.000033729.R1.trimmed.filtered_kneaddata	ERS1088254	Homo_sapiens	USA	United States	North_America	urban	urban	urban-AGP	USA	keep	Human: USA	urban	Human	Ape	Human	Human _ Industrialized	Savannah
10317.00003	10317.000033799.R1.trimmed.filtered_kneaddata	ERS941524	Homo_sapiens	USA	United States	North_America	urban	urban	urban-AGP	USA	keep	Human: USA	urban	Human	Ape	Human	Human _ Industrialized	Savannah
10317.00004	10317.000037611.R1.trimmed.filtered_kneaddata	ERS1088290	Homo_sapiens	USA	United States	North_America	urban	urban	urban-AGP	USA	keep	Human: USA	urban	Human	Ape	Human	Human _ Industrialized	Savannah
10317.00004	10317.000037946.R1.trimmed.filtered_kneaddata	ERS1164486	Homo_sapiens	United Kingdom	Azerbaijan	Europe	urban	urban	urban-AGP	United Kingdom	keep	Human: United Kingdom	urban	Human	Ape	Human	Human _ Industrialized	Savannah
10317.00004	10317.000038037.R1.trimmed.filtered_kneaddata	ERS1164507	Homo_sapiens	United Kingdom	United Kingdom	Europe	urban	urban	urban-AGP	United Kingdom	keep	Human: United Kingdom	urban	Human	Ape	Human	Human _ Industrialized	Savannah
10317.00004	10317.000038057.R1.trimmed.filtered_kneaddata	ERS1134751	Homo_sapiens	United Kingdom	United Kingdom	Europe	urban	urban	urban-AGP	United Kingdom	keep	Human: United Kingdom	urban	Human	Ape	Human	Human _ Industrialized	Savannah
10317.00004	10317.000038191.R1.trimmed.filtered_kneaddata	ERS1134778	Homo_sapiens	United Kingdom	United Kingdom	Europe	urban	urban	urban-AGP	United Kingdom	keep	Human: United Kingdom	urban	Human	Ape	Human	Human _ Industrialized	Savannah
10317.00004	10317.000039878.R1.trimmed.filtered_kneaddata	ERS1164563	Homo_sapiens	USA	United States	North_America	urban	urban	urban-AGP	USA	keep	Human: USA	urban	Human	Ape	Human	Human _ Industrialized	Savannah
10317.00004	10317.000040315.R1.trimmed.filtered_kneaddata	ERS1088382	Homo_sapiens	USA	United States	North_America	urban	urban	urban-AGP	USA	keep	Human: USA	urban	Human	Ape	Human	Human _ Industrialized	Savannah
10317.00004	10317.000040357.R1.trimmed.filtered_kneaddata	ERS1048815	Homo_sapiens	USA	United States	North_America	urban	urban	urban-AGP	USA	keep	Human: USA	urban	Human	Ape	Human	Human _ Industrialized	Savannah
10317.00004	10317.000041690.R1.trimmed.filtered_kneaddata	ERS1846361	Homo_sapiens	United Kingdom	United Kingdom	Europe	urban	urban	urban-AGP	United Kingdom	keep	Human: United Kingdom	urban	Human	Ape	Human	Human _ Industrialized	Savannah
10317.00004	10317.000042689.R1.trimmed.filtered_kneaddata	ERS1207915	Homo_sapiens	United Kingdom	United Kingdom	Europe	urban	urban	urban-AGP	United Kingdom	keep	Human: United Kingdom	urban	Human	Ape	Human	Human _ Industrialized	Savannah
10317.00005	10317.000047491.R1.trimmed.filtered_kneaddata	ERS1846374	Homo_sapiens	United Kingdom	United Kingdom	Europe	urban	urban	urban-AGP	United Kingdom	keep	Human: United Kingdom	urban	Human	Ape	Human	Human _ Industrialized	Savannah
10317.00005	10317.000054187.R1.trimmed.filtered_kneaddata	ERS1846406	Homo_sapiens	United Kingdom	United Kingdom	Europe	urban	urban	urban-AGP	United Kingdom	keep	Human: United Kingdom	urban	Human	Ape	Human	Human _ Industrialized	Savannah
10317.00005	10317.000054287.R1.trimmed.filtered_kneaddata	ERS1846413	Homo_sapiens	United Kingdom	United Kingdom	Europe	urban	urban	urban-AGP	United Kingdom	keep	Human: United Kingdom	urban	Human	Ape	Human	Human _ Industrialized	Savannah
10317.00006	10317.000062116.R1.trimmed.filtered_kneaddata	ERS1846480	Homo_sapiens	United Kingdom	Lithuania	Europe	urban	urban	urban-AGP	United Kingdom	keep	Human: United Kingdom	urban	Human	Ape	Human	Human _ Industrialized	Savannah
10317.00007	10317.000065674.R1.trimmed.filtered_kneaddata	ERS1846538	Homo_sapiens	USA	United States	North_America	urban	urban	urban-AGP	USA	keep	Human: USA	urban	Human	Ape	Human	Human _ Industrialized	Savannah
10317.00007	10317.000069200.R1.trimmed.filtered_kneaddata	ERS1846599	Homo_sapiens	USA	United States	North_America	urban	urban	urban-AGP	USA	keep	Human: USA	urban	Human	Ape	Human	Human _ Industrialized	Savannah
10317.00007	10317.000071404.R1.trimmed.filtered_kneaddata	ERS1846723	Homo_sapiens	USA	United States	North_America	urban	urban	urban-AGP	USA	keep	Human: USA	urban	Human	Ape	Human	Human _ Industrialized	Savannah
10317.00007	10317.000071425.R1.trimmed.filtered_kneaddata	ERS1846729	Homo_sapiens	USA	China	North_America	urban	urban	urban-AGP	USA	keep	Human: USA	urban	Human	Ape	Human	Human _ Industrialized	Savannah
